rentalid,branchcity,date,rentedcars,availablecars,avgdailytemp,isweekend,marketingspend,customerrating,holidayflag,fuelprice,promotiontype
RID248,Chcago,2023-04-12,21.0,50.0,21.5,Yes,471.62,4.2,N,1.0 USD,loyalti
RID249,Huston,25/01/2023,140.0,,25.2,Y,270.34,1.1,,0.92,Discount
RID250,New York,04/04/2023,196.0,160.0,21.4,TRUE,401.73,3.5,N,1.19,Discouunt
RID251,New York,08-04-2023,50.0,233.0,10.0,Yes,310.26,4.2,N,1.63,Discount
RID252,Los Angeles,11-29-2023,53.0,212.0,1.0,,445.82,5.0,No,1.6,Discouunt
RID253,NYC,05-26-2023,148.0,94.0,-1.9,,$262.86,3.8,No,1.29,loyalti
RID254,Huston,2023-06-26,100.0,77.0,hot,Y,273.31,6.0,no,1.5,None
RID255,Houston,32/13/2024,191.0,286.0,23.9,Y,104.76,2.3,N,1.53,loyalti
RID256,denver,02/12/2023,182.0,94.0,14.2,Yes,89.5,3.1,N,"1,28",
RID257,Huston,09/01/2023,153.0,148.0,26.8,TRUE,448.66,1.1,No,0.96,Discount
RID258,NYC,32/13/2024,41.0,61.0,36.0,Yes,356.22,3.5,no,1.26,Loyalty
RID259,Huston,2023-10-14,182.0,62.0,23.4,yes,116.25,2.3,Yes,0.81,Loyalty
RID260,newyork,27/12/2023,182.0,260.0,12.0,Y,268.78,2.0,No,1.85,
RID261,Ney York,02-03-2023,5.0,78.0,-2.6,,159.61,0.0,Yes,1.33 USD,
RID262,newyork,25/12/2023,71.0,263.0,0.9,TRUE,354.98,4.5,no,1.66,Loyalty
RID263,Denver,10/02/2023,41.0,277.0,8.9,Yes,491.56,4.7,N,1.65,Discount
RID264,Houston,2023-04-26,49.0,128.0,25.6,TRUE,161.96,2.2,Yes,0.97 USD,loyalti
RID265,Denver,01-01-2023,78.0,147.0,15.8,Y,$237.14,2.6,Yes,1.84,Loyalty
RID266,LA,22/01/2023,15.0,220.0,6.5,No,194.38,5.0,Yes,1.21 USD,Discouunt
RID267,denver,16/07/2023,9999.0,113.0,32.0,,444.29,1.9,N,1.09 USD,
RID268,Denver,2023-06-10,104.0,111.0,-2.6,No,226.31,2.4,N,1.41,Discouunt
,LA,2023-09-07,195.0,155.0,7.6,TRUE,229.39,2.1,Yes,1.19,Discouunt
,Los Angeles,20/01/2023,165.0,162.0,-1.9,yes,181.11,2.5,,1.39,Loyalty
RID271,Ney York,22/04/2023,121.0,266.0,36.2,Y,$196.83,6.0,N,1.84,loyalti
RID272,Houston,04/10/2023,,129.0,-999,Yes,411.34,3.4,no,1.94,Discount
RID273,NYC,02/01/2023,124.0,199.0,24.0,yes,89.35,6.0,,1.13,None
RID274,Ney York,02-05-2023,191.0,179.0,-0.1,Y,398.86,3.5,no,1.93,
RID275,denver,2023-03-23,104.0,273.0,22.9,Y,298.37,2.7,Yes,1.48,loyalti
RID276,newyork,2023-03-03,63.0,179.0,18.3,No,$235.56,3.3,no,1.23 USD,Discouunt
RID277,Ney York,10/12/2023,119.0,,16.8,Yes,466.73,4.9,,1.46,Discouunt
RID278,Ney York,2023-10-01,100.0,63.0,10.2,Yes,318.84,1.2,Yes,1.07,Discount
RID279,Denver,03/06/2023,176.0,243.0,19.9,,190.49,4.2,Yes,1.75,None
RID280,Chcago,2023-07-08,128.0,257.0,21.3,Yes,266.13,1.9,N,1.38 USD,loyalti
RID281,New York,2023-03-09,1.0,189.0,19.1,TRUE,350.03,0.0,No,1.23,Loyalty
RID282,NYC,05-10-2023,186.0,89.0,38.9,Y,$341.81,4.6,N,1.78,
RID283,NYC,2023-02-17,83.0,97.0,25.6,No,382.94,1.5,Yes,1.42,
RID284,Chicago,04-16-2023,34.0,59.0,18.7,,376.74,2.2,N,1.52,loyalti
RID285,NYC,2023-05-12,18.0,147.0,-999,Y,161.97,2.1,N,1.78,None
RID286,Houston,2023-09-10,181.0,285.0,37.0,No,197.55,1.1,N,1.9 USD,Discouunt
